POS,ODR,POF,ideal_prob
0.102,0.114,0.898,0.0
0.102,0.113,0.898,0.0
0.102,0.113,0.898,0.0
0.207,0.26,0.793,0.0
0.207,0.26,0.793,0.0
0.21,0.267,0.79,0.0
0.212,0.269,0.788,0.0
0.042,0.044,0.958,0.0
0.045,0.047,0.955,0.0
0.039,0.041,0.961,0.0
0.041,0.043,0.959,0.0
0.962,25.256,0.038,0.0
0.038,0.04,0.962,0.0
0.233,0.304,0.767,0.0
0.237,0.31,0.763,0.0
0.238,0.312,0.762,0.0
0.016,0.016,0.984,0.0
0.234,0.306,0.766,0.0
0.016,0.016,0.984,0.0
0.016,0.016,0.984,0.0
0.014,0.014,0.986,0.0
0.122,0.138,0.878,0.0
0.116,0.131,0.884,0.0
0.125,0.143,0.875,0.0
0.134,0.154,0.866,0.0
0.131,0.151,0.869,0.0
0.136,0.157,0.864,0.0
0.122,0.139,0.878,0.0
0.115,0.13,0.885,0.0
0.215,0.274,0.785,0.0
0.035,0.036,0.965,0.0
0.213,0.271,0.787,0.0
0.215,0.274,0.785,0.0
0.218,0.278,0.782,0.0
0.032,0.033,0.968,0.0
0.039,0.041,0.961,0.0
0.036,0.037,0.964,0.0
0.116,0.131,0.884,0.0
0.115,0.13,0.885,0.0
0.138,0.16,0.862,0.0
0.114,0.129,0.886,0.0
0.139,0.161,0.861,0.0
0.109,0.122,0.891,0.0
0.135,0.156,0.865,0.0
0.134,0.154,0.866,0.0
0.201,0.251,0.799,0.0
0.198,0.247,0.802,0.0
0.198,0.247,0.802,0.0
0.199,0.248,0.801,0.0
0.048,0.05,0.952,0.0
0.051,0.053,0.949,0.0
0.052,0.055,0.948,0.0
0.051,0.053,0.949,0.0
0.199,0.249,0.801,0.0
0.198,0.247,0.802,0.0
0.2,0.25,0.8,0.0
0.049,0.051,0.951,0.0
0.047,0.049,0.953,0.0
0.049,0.052,0.951,0.0
0.201,0.251,0.799,0.0
0.05,0.053,0.95,0.0
0.141,0.164,0.859,0.0
0.109,0.122,0.891,0.0
0.137,0.159,0.863,0.0
0.109,0.123,0.891,0.0
0.141,0.164,0.859,0.0
0.139,0.162,0.861,0.0
0.112,0.127,0.888,0.0
0.112,0.127,0.888,0.0
0.411,0.698,0.589,0.0
0.533,1.142,0.467,0.0
0.014,0.014,0.986,1.0
0.014,0.014,0.986,1.0
0.012,0.012,0.988,1.0
0.01,0.01,0.99,1.0
0.002,0.002,0.998,1.0
0.003,0.003,0.997,1.0
0.611,1.573,0.389,0.0
0.333,0.498,0.667,0.0
0.012,0.012,0.988,1.0
0.018,0.018,0.982,1.0
0.003,0.003,0.997,1.0
0.012,0.012,0.988,1.0
0.008,0.008,0.992,1.0
0.003,0.003,0.997,1.0
0.164,0.196,0.836,0.0
0.091,0.1,0.909,0.0
0.163,0.194,0.837,0.0
0.094,0.103,0.906,0.0
0.153,0.181,0.847,0.0
0.089,0.098,0.911,0.0
0.159,0.189,0.841,0.0
0.093,0.102,0.907,0.0
0.835,5.059,0.165,0.0
0.165,0.198,0.835,0.0
0.451,0.822,0.549,0.0
0.5,1.0,0.5,0.0
0.014,0.014,0.986,1.0
0.01,0.01,0.99,1.0
0.004,0.004,0.996,1.0
